20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_vhd_ransomware.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_leviathan.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lnx_kobalos.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lnx_linadoor_rootkit.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lotusblossom_elise.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_magichound.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_mal_gopuram_apr23.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_mal_ilo_board_elf.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_mal_ru_snake_may23.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_microcin.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_middle_east_talosreport.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_miniasp.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_minidionis.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_mofang.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_molerats_jul17.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_monsoon.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_moonlightmaze.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ms_platinum.yara
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_muddywater.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_naikon.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nanocore_rat.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nazar.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ncsc_report_04_2018.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_netwire_rat.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nk_andariel_jul24.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nk_gen.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nk_goldbackdoor.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nk_inkysquid.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nk_tradingtech_apr23.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_oilrig.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_oilrig_chafer_mar18.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_oilrig_oct17.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_oilrig_rgdoor.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_olympic_destroyer.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_onhat_proxy.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_op_cleaver.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_op_cloudhopper.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_op_honeybee.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_op_shadowhammer.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_op_wocao.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_passcv.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_passthehashtoolkit.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_patchwork.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_peach_sandstorm.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_plead_downloader.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_plugx.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_poisonivy.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_poisonivy_gen3.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_poseidon_group.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_poshspy.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_prikormka.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_project_m.yar
